% Model:              
% Version:            COMSOL 5.3.1.201
% Date:               Mar 7 2020, 17:29
% Dimension:          1
% Nodes:              181
% Expressions:        1
% Description:        Global
% X                       Height
-90                       0.008368069466275992
-89                       0.008371414869040372
-88                       0.0083806732429324
-87                       0.008395722498807082
-86                       0.008418511457212237
-85                       0.008447668268608786
-84                       0.008485208448776644
-83                       0.008532161218068993
-82                       0.008590721694746485
-81                       0.008664618628794583
-80                       0.00875400817004737
-79                       0.008860597068749455
-78                       0.00899066378319687
-77                       0.00915086341814563
-76                       0.009344526980152994
-75                       0.009567232657111704
-74                       0.009812242757219309
-73                       0.010066341918113024
-72                       0.01032620915503377
-71                       0.010584021626251184
-70                       0.010842921993909337
-69                       0.01110137011016975
-68                       0.011358856867555155
-67                       0.011616092511415183
-66                       0.011871807427033232
-65                       0.012132436839787266
-64                       0.012391065248540582
-63                       0.012647103406089868
-62                       0.012905682924589951
-61                       0.013162515167405839
-60                       0.013420526121056372
-59                       0.013677340479193821
-58                       0.013933862007356988
-57                       0.014189647768685735
-56                       0.014446324787643917
-55                       0.014700863379735276
-54                       0.014958139401642397
-53                       0.015214850685542161
-52                       0.015470110851489742
-51                       0.01572371451498457
-50                       0.015980123777263672
-49                       0.01623052346139712
-48                       0.016488703382189596
-47                       0.016742793088887632
-46                       0.01699629729221444
-45                       0.017249546498470554
-44                       0.017503588310539154
-43                       0.01775499587820745
-42                       0.01800801586841942
-41                       0.018262687998138672
-40                       0.018514349722623336
-39                       0.018766625523693525
-38                       0.01901779648478133
-37                       0.01926865286548326
-36                       0.019520881706557067
-35                       0.019773488019388635
-34                       0.02002300886661163
-33                       0.020270916101861658
-32                       0.020523672015995316
-31                       0.020774528190590974
-30                       0.02102206535681381
-29                       0.021270586453089834
-28                       0.02151997137959361
-27                       0.02176798693871854
-26                       0.0220147554521644
-25                       0.022263690829693598
-24                       0.02251035799185222
-23                       0.022757070526921584
-22                       0.023002996674228303
-21                       0.023246937498393065
-20                       0.023492396071861776
-19                       0.02373430370208334
-18                       0.0239771026785002
-17                       0.024217082830580453
-16                       0.024456999466785645
-15                       0.02469480888517865
-14                       0.024931412838580493
-13                       0.025163471105194114
-12                       0.02539385113958439
-11                       0.02562141897092668
-10                       0.025844337795247363
-9                        0.02606117107854862
-8                        0.02627159090706674
-7                        0.02646869060681925
-6                        0.026656496164710712
-5                        0.02683116954880889
-4                        0.026988446360660084
-3                        0.027111961125892658
-2                        0.02720007674855885
-1                        0.027250796128894084
0                         0.027260331394499335
1                         0.02724881799122517
2                         0.027198751783525044
3                         0.02710955555416291
4                         0.026987050751912864
5                         0.026830982887066188
6                         0.02665753648985268
7                         0.026470455886907798
8                         0.02626898159526922
9                         0.026059389646272548
10                        0.025842346066412534
11                        0.02562144302191959
12                        0.02539495872718187
13                        0.025165329965231516
14                        0.02493312372237233
15                        0.0246930676221343
16                        0.024457094310244024
17                        0.024218438385532504
18                        0.02397849768978908
19                        0.023736041050319484
20                        0.023493504781661796
21                        0.023249832403858958
22                        0.023003139206307546
23                        0.022758180273129317
24                        0.022511668817239996
25                        0.022265459733825547
26                        0.02201666449063816
27                        0.021769674977239126
28                        0.02152110867103735
29                        0.021271616922254676
30                        0.02102290533536316
31                        0.020775607767920926
32                        0.02052415233097159
33                        0.020273611993443404
34                        0.020025131000474466
35                        0.019774223551893937
36                        0.0195224796374339
37                        0.019270333947906705
38                        0.019019326613330546
39                        0.01876850193009397
40                        0.018515631766213046
41                        0.01826389197583682
42                        0.01800934552814833
43                        0.017755419503177147
44                        0.017503215572164575
45                        0.017249791554633832
46                        0.01699513724306378
47                        0.016742220877399912
48                        0.01648791618532723
49                        0.016231142692109343
50                        0.01598187118648514
51                        0.015726203205087403
52                        0.015471520988870134
53                        0.015214299590754259
54                        0.014960031147999667
55                        0.014704187856497714
56                        0.014446487461763946
57                        0.0141910047253058
58                        0.013934236716009657
59                        0.013679343920099797
60                        0.013422184722388653
61                        0.01316387312394563
62                        0.012907086403184246
63                        0.012648611482725256
64                        0.01239221200729272
65                        0.012131752163372037
66                        0.011873969326281639
67                        0.011618830154982872
68                        0.011360387536625346
69                        0.011102563446843527
70                        0.010844213171838852
71                        0.010585821468043934
72                        0.01032638878510114
73                        0.01006886551599338
74                        0.009813567840146595
75                        0.009570682950253012
76                        0.009345588623013198
77                        0.0091519979042178
78                        0.008991417180596036
79                        0.008861100889742147
80                        0.008755053356139257
81                        0.008668266424820189
82                        0.008590367840996389
83                        0.008532101499014294
84                        0.008485280142589376
85                        0.008447602219035243
86                        0.008418427796253809
87                        0.008396626410788772
88                        0.008380602837961385
89                        0.008371623617408041
90                        0.008367983350793301
