% Model:              linear.mph
% Version:            COMSOL 5.3.1.201
% Date:               Mar 7 2020, 18:03
% Dimension:          1
% Nodes:              181
% Expressions:        1
% Description:        Global
% X                       Height
-90                       0.00819597651807148
-89                       0.008199151308064532
-88                       0.008207947019479186
-87                       0.0082222321022552
-86                       0.008243861408076826
-85                       0.008271518620608502
-84                       0.008307126070560457
-83                       0.008351639048539555
-82                       0.008407121504513507
-81                       0.008476910568843405
-80                       0.008561219029656286
-79                       0.00866147030436361
-78                       0.00878335589352262
-77                       0.00893236818469572
-76                       0.00910944727091809
-75                       0.009311770028292369
-74                       0.009532808351123844
-73                       0.009763375220486687
-72                       0.010001731085617157
-71                       0.010238840346587069
-70                       0.01047698292695117
-69                       0.010714908027710674
-68                       0.010953038989627017
-67                       0.011189342376176567
-66                       0.011425424037549481
-65                       0.011663119459989657
-64                       0.011900142069799722
-63                       0.012135747902860745
-62                       0.012372265914253873
-61                       0.012607078470631666
-60                       0.012841835002159603
-59                       0.013075796589007786
-58                       0.013309665406496586
-57                       0.013542115653544419
-56                       0.013775061466046385
-55                       0.014005861507122389
-54                       0.014239596469198012
-53                       0.014471400941365531
-52                       0.01470162150856036
-51                       0.01493091755314275
-50                       0.015161164182362236
-49                       0.01538810456286213
-48                       0.015618281420559375
-47                       0.015846668054803784
-46                       0.01607340697689623
-45                       0.01630009576260085
-44                       0.016525323697196517
-43                       0.016747577031484145
-42                       0.016970948783821594
-41                       0.017201330972776856
-40                       0.01742391410040554
-39                       0.01764725715406727
-38                       0.017868034470415805
-37                       0.018089224562313277
-36                       0.018312381101011556
-35                       0.018533472111536105
-34                       0.01875325573224689
-33                       0.01896958081926892
-32                       0.019190592032327824
-31                       0.019408214643706814
-30                       0.019623795351387557
-29                       0.019838605200173373
-28                       0.020054728183459235
-27                       0.02027188913226059
-26                       0.020483346420675033
-25                       0.020697627530933807
-24                       0.020909117542881005
-23                       0.021120330637199574
-22                       0.021330154611588246
-21                       0.021536469639790983
-20                       0.021742340988278874
-19                       0.02193059878127343
-18                       0.022137671556196194
-17                       0.02233865593657774
-16                       0.022537901303860467
-15                       0.022733870974246766
-14                       0.022929936958141436
-13                       0.023121469357948985
-12                       0.02331198530844149
-11                       0.023496454957770068
-10                       0.023676060332649993
-9                        0.02385423845524857
-8                        0.024022743864364707
-7                        0.024178058173784375
-6                        0.02432938069656443
-5                        0.0244674930695946
-4                        0.024591066182446455
-3                        0.024686861321218667
-2                        0.024751538586941273
-1                        0.024788716083476544
0                         0.024797092818240985
1                         0.02478803053913747
2                         0.0247514782858628
3                         0.024684983371169325
4                         0.024590554496502572
5                         0.024469026658515653
6                         0.024330642894116572
7                         0.02417995356264202
8                         0.024019155288918927
9                         0.023851198713146612
10                        0.023677139929685277
11                        0.023497835475479085
12                        0.023311918858357705
13                        0.023121646691885725
14                        0.02293022122382001
15                        0.02273343744693876
16                        0.022538263063919414
17                        0.022339005339079985
18                        0.022137726524976212
19                        0.02193179156130796
20                        0.021744823072390965
21                        0.021538835540398076
22                        0.021330676750668926
23                        0.021120280189056997
24                        0.020909645606717625
25                        0.020698333322709667
26                        0.02048392048390795
27                        0.020272628429736626
28                        0.020056003783215086
29                        0.01984021131350153
30                        0.019623857320944807
31                        0.019409026804044528
32                        0.01919053528904339
33                        0.018973016492602565
34                        0.018755010843989593
35                        0.018533685242366066
36                        0.01831381717060965
37                        0.018090919701244382
38                        0.017869809404024755
39                        0.017647867840202988
40                        0.017423763925843095
41                        0.01720241895651957
42                        0.016972915139588304
43                        0.016748349984966313
44                        0.016525125257129767
45                        0.016299609838100727
46                        0.016071897351101146
47                        0.01584572343393959
48                        0.015617551226217522
49                        0.015388615325163437
50                        0.015161986130258806
51                        0.014931932335539543
52                        0.014702687464706042
53                        0.01447020316271254
54                        0.014240668934432392
55                        0.014008539174012626
56                        0.013775459100147712
57                        0.013543117762447423
58                        0.01330962551508675
59                        0.013077027450933304
60                        0.012842836691487539
61                        0.01260764908652564
62                        0.01237288615857407
63                        0.012136409424587886
64                        0.011901125435637594
65                        0.011663769889829487
66                        0.011427025570273254
67                        0.011191009129943119
68                        0.010953685331165619
69                        0.010716347337315316
70                        0.010478407421693378
71                        0.010240353509408148
72                        0.010001797972954939
73                        0.009765501469130225
74                        0.009533884515063531
75                        0.009314247819498626
76                        0.009110485458274238
77                        0.008933298645335198
78                        0.008784061060641163
79                        0.008661929207707397
80                        0.00856218901470703
81                        0.00848028782404076
82                        0.008406797809594429
83                        0.008351591791508095
84                        0.008307205228849276
85                        0.008271469900244164
86                        0.008243793738758587
87                        0.008223102533488472
88                        0.008207887565200606
89                        0.00819935316927796
90                        0.008195895066040645
